Timestamp,CAM OPERATOR BADGE#,SCAN CASE NUMBER,DEFECT CATEGORY,DEFECT DESCRIPTION,LOCATION WHEN DAMAGED WAS NOTICED
3/19/2020 14:20:43,TSCHAFFER,ROLO101520009750,BROKEN / CHIPPED / CRACKED,CRACKED,IN CAM
3/19/2020 17:01:50,DLOPEZ,SARA101520010453,MARGIN ISSUE,OPEN @ BUCCAL,POST CAM
3/19/2020 17:02:11,DLOPEZ,SARA101520008854,LOST / MISSING,NOT MATCHED,IN CAM
3/19/2020 17:32:49,DLOPEZ,ROLO101520010279,"FIT -- tight, loose, rocks, etc., etc., ...",margin issues,POST CAM
3/20/2020 6:45:34,TSCHAFFER,ROLO101520010355,MARGIN ISSUE,INTERNAL CHIP,POST CAM
3/20/2020 10:05:10,TSCHAFFER,ROLO101520010483,BROKEN / CHIPPED / CRACKED,CRACKED BEFORE FINISHING,POST CAM
3/20/2020 10:16:04,TSCHAFFER,ROLO101520010469,MARGIN ISSUE,CHIPPED IN MILLING,IN CAM
3/20/2020 11:10:38,TSCHAFFER,ROLO101520010531,CONTOUR / OCCLUSION,OCCLUSION,POST CAM
3/20/2020 12:13:44,TSCHAFFER,ROLO101520010613,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/20/2020 12:42:00,TSCHAFFER,SARA101520009876,Redesign / Design related,REMILL #5 ONLY,POST CAM
3/20/2020 12:51:10,TSCHAFFER,SARA101520010590,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/20/2020 13:31:14,TSCHAFFER,SARA101520009941,OTHER,BITE WRONG,POST CAM
3/20/2020 13:45:43,TSCHAFFER,SARA101520010249,MARGIN ISSUE,SHORT / OPEN,POST CAM
3/21/2020 8:27:14,JSMOLEN,SARA101520010453,MARGIN ISSUE,REMILL PER CHAD,POST CAM
3/21/2020 8:29:48,JSMOLEN,SARA101520007674,CONTOUR / OCCLUSION,HIGH OCC,POST CAM
3/21/2020 9:06:33,abevell,ROLO101520010531,CONTOUR / OCCLUSION,occlusion bad,POST CAM
3/21/2020 9:25:31,abevell,ROLO101520010745,MARGIN ISSUE,loose margin per Josh,IN CAM
3/21/2020 9:53:25,abevell,ROLO101520008656,OTHER,needed redesign,POST CAM
3/21/2020 9:58:51,abevell,ROLO101520010678,MARGIN ISSUE,chipped,IN CAM
3/21/2020 10:11:22,abevell,ROLO101520009876,MILLING / NESTING ERROR,needs screw hole,IN CAM
3/21/2020 10:15:02,abevell,ROLO101520009960ROLO101520010737ROLO101520007955,"FIT -- tight, loose, rocks, etc., etc., ...",bad fits,IN CAM
3/21/2020 10:54:39,abevell,SARA101520010163,MARGIN ISSUE,too long,POST CAM
3/21/2020 11:24:03,abevell,ROLO101520010745,MARGIN ISSUE,chipped,IN CAM
3/21/2020 11:41:30,abevell,SARA101520010672,OTHER,greenstate error,IN CAM
3/21/2020 11:43:39,abevell,SARA101520009876,OTHER,redesgn #5,POST CAM
3/21/2020 13:23:05,abevell,SARA101520010507,MARGIN ISSUE,chipped,IN CAM
3/21/2020 14:39:12,abevell,ROLO101520005758,MILLING / NESTING ERROR,margin chipped in mill(7.8),IN CAM
3/21/2020 15:26:17,abevell,SARA101520010730,BROKEN / CHIPPED / CRACKED,@ greenstate,IN CAM
3/21/2020 16:24:14,abevell,ROLO101520010850,BROKEN / CHIPPED / CRACKED,@ greenstate,IN CAM
3/23/2020 6:47:30,TSCHAFFER,SARA101520010642,MARGIN ISSUE,MARGIN TOO OPAQUE,POST CAM
3/23/2020 7:14:00,TSCHAFFER,SARA101520010317,LOST / MISSING,MISSING AT MATCHING,IN CAM
3/23/2020 7:19:12,TSCHAFFER,SARA101520010644,OTHER,FRACTURE,POST CAM
3/23/2020 7:49:00,TSCHAFFER,SARA101520010545,Redesign / Design related,OCCLUSION,POST CAM
3/23/2020 7:52:53,TSCHAFFER,ROLO101520010717,LOST / MISSING,#9 MISSING AT MATCHING,IN CAM
3/23/2020 8:03:00,TSCHAFFER,ROLO101520005758,OTHER,GREENSTATE ERROR,IN CAM
3/23/2020 8:43:09,TSCHAFFER,SARA101520010560,SHADE / MATERIAL INCORRECT or CHANGED,OVEN NOT PURGED,POST CAM
